track,speed_setting,method,mean_pos_err,median_pos_err,std_pos_err,max_pos_err,rmse_pos_err,mean_yaw_err_deg,median_yaw_err_deg,std_yaw_err_deg,max_yaw_err_deg,rmse_yaw_err_deg
Spielberg,5.0,amcl,0.3979,0.3445,0.2831,1.6981,0.4884,1.2636,0.6994,1.7282,13.5419,2.1409
Spielberg,5.0,conv,,,,,,,,,,
Spielberg,5.0,odom,0.3865,0.3685,0.2016,1.232,0.4357,8.3006,5.4525,13.3531,166.7066,15.6983
Spielberg,6.0,amcl,0.3816,0.3001,0.2986,1.6086,0.4845,1.2102,0.6691,1.6303,18.4706,2.0303
Spielberg,6.0,conv,,,,,,,,,,
Spielberg,6.0,odom,,,,,,,,,,
Spielberg,7.0,amcl,,,,,,,,,,
Spielberg,7.0,conv,,,,,,,,,,
Spielberg,7.0,odom,,,,,,,,,,
Spielberg,8.0,amcl,0.4994,0.3363,0.4842,2.4407,0.6956,1.8085,0.7974,3.3668,164.0019,3.8217
Spielberg,8.0,conv,,,,,,,,,,
Spielberg,8.0,odom,,,,,,,,,,
Spielberg_slamversion,5.0,amcl,0.43,0.3201,0.3947,2.5498,0.5837,1.4058,0.8141,1.6591,18.3696,2.1746
Spielberg_slamversion,5.0,conv,,,,,,,,,,
Spielberg_slamversion,5.0,odom,0.2409,0.2202,0.0687,0.432,0.2503,12.8895,0.1464,17.0276,49.9902,21.1976
Spielberg_slamversion,5.0,slam,,,,,,,,,,
Spielberg_slamversion,6.0,amcl,0.3574,0.2983,0.2646,1.2686,0.4447,1.2655,0.8039,1.4403,16.2806,1.9173
Spielberg_slamversion,6.0,conv,,,,,,,,,,
Spielberg_slamversion,6.0,odom,,,,,,,,,,
Spielberg_slamversion,6.0,slam,,,,,,,,,,
Spielberg_slamversion,7.0,amcl,,,,,,,,,,
Spielberg_slamversion,7.0,conv,,,,,,,,,,
Spielberg_slamversion,7.0,odom,,,,,,,,,,
Spielberg_slamversion,7.0,slam,,,,,,,,,,
Spielberg_slamversion,8.0,amcl,0.3937,0.3131,0.3067,1.4419,0.4991,1.9835,1.007,2.5698,20.29,3.2462
Spielberg_slamversion,8.0,conv,,,,,,,,,,
Spielberg_slamversion,8.0,odom,,,,,,,,,,
Spielberg_slamversion,8.0,slam,,,,,,,,,,
map0,5.0,amcl,0.2224,0.152,0.21,1.2511,0.3059,1.2663,0.7297,1.5061,10.5965,1.9676
map0,5.0,conv,0.2211,0.2004,0.1345,1.3183,0.2588,3.0208,2.4678,2.3935,14.965,3.8538
map0,5.0,odom,0.2146,0.2035,0.1212,0.958,0.2465,3.3541,2.6445,2.8979,27.3742,4.4321
map0,6.0,amcl,0.2125,0.1661,0.1726,0.9723,0.2737,1.4699,0.7298,1.8695,12.5169,2.3781
map0,6.0,conv,0.2422,0.2227,0.1395,1.0633,0.2795,4.4544,3.6708,3.4524,20.7919,5.6351
map0,6.0,odom,0.2383,0.222,0.1353,1.3347,0.274,5.5363,4.5072,4.4697,38.2285,7.1146
map0,7.0,amcl,0.2597,0.2167,0.1836,0.909,0.3181,1.5321,0.8104,1.9003,15.239,2.441
map0,7.0,conv,0.2654,0.2472,0.1722,1.7969,0.3163,5.88,5.0509,4.4349,24.7334,7.3628
map0,7.0,odom,0.2538,0.2381,0.1296,1.0962,0.2849,8.0646,6.4676,7.4875,61.195,11.0018
map0,8.0,amcl,0.2396,0.1862,0.1991,1.2539,0.3115,1.9256,0.9304,2.445,17.8761,3.1122
map0,8.0,conv,0.2883,0.2719,0.1439,1.0641,0.3222,7.1226,5.9795,5.5542,36.4256,9.0312
map0,8.0,odom,0.2931,0.277,0.1552,1.2729,0.3316,9.9456,7.6861,12.8064,172.7518,16.2054
map0_slamversion,5.0,amcl,0.2004,0.1806,0.123,0.847,0.2351,2.2269,1.6859,2.0873,17.3072,3.0522
map0_slamversion,5.0,conv,0.2469,0.1903,0.2172,2.2903,0.3288,2.4405,1.9438,2.1137,14.612,3.2282
map0_slamversion,5.0,odom,0.1962,0.1711,0.1562,1.4767,0.2508,2.4901,1.9059,2.3078,20.8432,3.3947
map0_slamversion,5.0,slam,,,,,,,,,,
map0_slamversion,6.0,amcl,0.1859,0.1457,0.1408,0.8627,0.2332,2.1554,1.5254,2.188,19.4784,3.0713
map0_slamversion,6.0,conv,,,,,,,,,,
